시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화성시,수작이교차로,Sujagi Junction ,233001630,55355.0,노변정류장,경기도 화성시,,37.2134333,126.8164167
화성시,수작이교차로,Sujagi Junction ,233001964,55359.0,노변정류장,경기도 화성시,,37.21305,126.8154833
화성시,수직리,Sujik-ri,233000040,37347.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.12335,126.9912
화성시,수직리,Sujik-ri,233000032,37348.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1232167,126.9914667
화성시,수촌1리,Suchon 1-ri ,233002632,37456.0,,경기도 화성시,,37.1029,126.8571667
화성시,수촌1리,Suchon 1-ri,233000395,36872.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.10285,126.8576
화성시,수촌2리.황골,"Suchon 2-ri, Hwanggol",233000937,37160.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.08875,126.862
화성시,수촌3리,Suchon 3-ri,233000397,37454.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.1029333,126.8430333
화성시,수촌3리,Suchon 3-ri,233000396,36871.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.1029333,126.8517
화성시,수촌3리,Suchon 3-ri,233002612,36846.0,,경기도 화성시,,37.1033333,126.8506333
화성시,수화1동,Suhwa 1-dong,233002569,,노변정류장,경기도 화성시,,37.2534,126.8163167
화성시,수화1동,Sohwa 1-dong,233003078,,노변정류장,경기도 화성시,,37.2533667,126.8164167
화성시,수화2동.양철이,"Suhwa 2-dong, Yangcheoli",233002568,,노변정류장,경기도 화성시,,37.2481167,126.8181333
화성시,수화2동.양철이,"Suhwa 2-dong, Yangcheoli",233003080,,노변정류장,경기도 화성시,,37.2479833,126.8182167
화성시,수화동,Suhwa-dong,233002929,,노변정류장,경기도 화성시,,37.25735,126.8176
화성시,수화동,Suhwa-dong,233003079,,노변정류장,경기도 화성시,,37.2573,126.8177333
화성시,숙곡교차로(경유),,277101878,,,,,37.2545833,126.8989167
화성시,숙곡교차로(경유),,277101700,,,,,37.2546667,126.8987333
화성시,숙곡리,Sukgok-ri,233002531,,노변정류장,경기도 화성시,,37.2611167,126.9085833
화성시,숙곡리삼거리,Sukgok-ri Samgeori,233003011,,노변정류장,경기도 화성시,,37.2531833,126.9046333
화성시,숙곡리삼거리,Sukgok-ri Samgeori,233003010,,노변정류장,경기도 화성시,,37.2532,126.9042
