ars,emd_cd,sttn_nm
36813,4159125027,문화마을
36814,4159125022,호곡3리입구
36816,4159125022,호곡2리
36817,4159125022,호곡1리
36818,4159125027,경기요양병원
36819,4159125025,멱우2리
36820,4159125032,조암조원마을
36822,4159125032,청소년문화의집.우정읍복지센터
36823,4159125032,삼괴중고등학교
36824,4159125031,기아2차아파트앞
36825,4159125031,석천1리포도원
36826,4159125028,애덕의가정
36828,4159125028,이화2리앞(이화병원)
36829,4159125028,이화1리앞
36830,4159125030,화성드림파크
36831,4159125030,매향삼거리
36832,4159125030,기아후문입구
36833,4159125329,현대공조
36835,4159135021,어은1정미소앞
36837,4159125032,조암4리앞
36838,4159125622,기산베스트빌
36839,4159133030,궁평교회
36840,4159133031,용두2리
36841,4159710200,한빛마을.석우중학교(중)
36842,4159710600,상록.테크노밸리.GS자이
36843,4159333022,정남농협
36844,4159125322,화성시보건소앞
36845,4159134036,해창2리.능인대학원대학교
36846,4159135023,수촌3리
36847,4159135023,장의리
36848,4159135021,금의1리
36849,4159135022,석포5리
36850,4159134027,노하3리.백미정
36851,4159134027,노하3리
36852,4159134027,노하2리
36853,4159134027,노하1리
36854,4159134027,노하1리
36856,4159125027,주곡리
36857,4159125027,주곡리
36861,4159125027,호곡리
36862,4159125027,선창포구종점
36863,4159135029,경진여객차고지
36864,4159125027,경기요양병원
36865,4159125022,호곡3리입구
36868,4159125021,원안3리
36869,4159135021,어은1정미소앞
36870,4159135021,금의1리입구
36871,4159135023,수촌3리
36872,4159135023,수촌1리
36873,4159134036,해창리
36874,4159125322,동양빌딩앞
36875,4159125322,화성시보건소앞
36876,4159125321,발안만세시장
36878,4159125028,슈마타운
36879,4159125028,이화3리입구
36880,4159125028,이화2리앞
36881,4159135030,노진리종점
36882,4159333027,문학2리
36883,4159134032,월문온천
36884,4159134032,화당리
36885,4159135022,석포4리
36887,4159125027,금의3리
36888,4159125027,주곡1리
36890,4159125021,원안3리
36891,4159125026,화수사거리
36892,4159135028,주곡1리
36893,4159135028,금의3리
36894,4159135022,석포2리
36895,4159135022,석포2리
36896,4159135022,석포삼거리
36897,4159134031,서근리
36898,4159134036,해창리
36899,4159134032,화당리
36900,4159134032,월문리
36901,4159134032,월문리온천입구
36902,4159135022,석포리
36903,4159125029,석천2리입구
36904,4159125031,기아생활관
36905,4159125029,매향4리
36906,4159125031,석천1리포도원
36907,4159134025,구장1리
36908,4159125322,발안마을주공아파트
36909,4159135024,덕다2리앞(구래)
36910,4159135029,사곡사거리
