node_id,ars_no,name,lon,lat,in_hwaseong
GGB203000120,4169,황골벽산아파트,127.082417,37.266133,0
GGB203000121,4162,청명역1번출구.청명산,127.080217,37.260467,0
GGB203000122,4160,청명역3번출구,127.078633,37.2588,0
GGB203000123,4150,영통역,127.0739,37.253767,0
GGB203000124,4085,망포역1번출구.디지털엠파이어1,127.0596,37.24575,0
GGB203000134,4036,중흥S클래스.자연앤자이아파트,127.055517,37.284333,0
GGB203000135,4149,살구골공원.영통역3번출구,127.0735,37.2499,0
GGB203000136,4133,영통역6번출구.영덕고등학교,127.069833,37.252133,0
GGB203000143,4152,영일중학교.수원출입국외국인청,127.075083,37.249217,0
GGB203000147,4090,망포1동행정복지센터.삼정라츠.늘푸른벽산,127.059233,37.237167,0
GGB203000148,4177,망포중학교.엘지동수원자이,127.056483,37.238333,0
GGB203000149,4069,태장초등학교,127.055333,37.24085,0
GGB203000150,4072,그대가프리미어아파트.망포역3번출구,127.056017,37.24465,0
GGB203000151,4063,방죽공원.영통힐스테이트.쌍용아파트,127.051967,37.245383,0
GGB203000152,4206,영통아이파크캐슬1단지.래미안영통마크원2단지,127.046183,37.245,0
GGB203000153,4032,래미안영통마크원2단지.영통아이파크캐슬1단지,127.0461,37.245433,0
GGB203000154,4064,망포그대가프리미어.쌍용아파트,127.053417,37.245833,0
GGB203000155,4070,청와.쌍용.그대가센트럴파크아파트,127.05545,37.242717,0
GGB203000156,4135,살구골현대아파트.영통역4번출구,127.0704,37.2502,0
GGB203000157,4129,살구골동아아파트,127.067983,37.247717,0
GGB203000159,4009,매탄주공4단지.매탄1동주민센터,127.041667,37.268817,0
GGB203000160,4012,삼성2차아파트,127.042567,37.269467,0
GGB203000161,4236,자유총연맹,127.040183,37.264167,0
GGB203000162,4235,매탄위브하늘채.경기아트센터,127.039067,37.26155,0
GGB203000163,4234,임광아파트,127.037767,37.2585,0
GGB203000164,4233,수원남부소방서,127.036533,37.255633,0
GGB203000165,4181,경기대수원캠퍼스후문.수원박물관,127.03975,37.297083,0
GGB203000166,4178,경기대수원캠퍼스후문.수원박물관,127.039433,37.29675,0
GGB203000167,4002,경기남부경찰청.봉녕사입구,127.034933,37.29365,0
GGB203000168,4117,교통공원,127.065367,37.246183,0
GGB203000169,4054,수원정보과학고.원천중학교,127.050683,37.275567,0
GGB203000170,4041,아주대병원,127.047133,37.277933,0
GGB203000171,4039,아주대병원,127.046867,37.278333,0
GGB203000172,4055,수원정보과학고.원천중학교,127.050317,37.276383,0
GGB203000174,4105,원천레이크파크아파트,127.06225,37.26945,0
GGB203000175,4086,광교호수공원입구.원천교사거리,127.060183,37.27035,0
GGB203000176,4180,영통경찰서.성일아파트,127.055517,37.272067,0
GGB203000177,4058,KT동수원지사,127.0514,37.2732,0
GGB203000178,4179,구법원사거리,127.0465,37.273767,0
GGB203000179,4023,아주대삼거리,127.045083,37.274167,0
GGB203000184,4204,삼성디지털시티모바일연구소,127.0574,37.258533,0
GGB203000185,4203,삼성디지털시티모바일연구소,127.057067,37.2586,0
