key,stop_id,ars,name,lon,lat,grid_id,region,board_day,board_day_we,alight_day,board_imputed,n_routes,freq_imputed,freq_am,freq_day,freq_pm,freq_night
233000808,41590-36481,36481,황터입구,127.033083,37.139617,다사5804,정남면,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233000809,41590-55860,55860,사창1리,126.970833,37.090883,다바5299,양감면,0.81,0.68,0.0,0,0,1,2.083,8.017,2.083,0.0
233000810,41590-60066,60066,마도농협,126.77175,37.204067,다사3511,마도면,1.14,0.29,0.59,0,0,1,15.0,42.095,15.0,1.5
233000812,41590-36758,36758,구문천리,126.91045,37.087383,다바4798,향남읍,17.96,24.06,130.22,0,5,0,12.38,41.678,12.46,1.778
233000813,41590-37468,37468,향남제약공단앞,126.90695,37.09595,다바4799,향남읍,3.53,0.47,26.12,0,6,0,13.713,53.678,13.793,2.278
233000814,41590-36757,36757,상신8리마을앞,126.900683,37.107267,다사4601,향남읍,3.04,2.21,17.56,0,3,0,7.713,30.82,7.793,1.778
233000815,41590-37467,37467,제약공단사원아파트앞,126.900083,37.1124,다사4601,향남읍,4.45,3.53,19.79,0,3,0,7.713,30.82,7.793,1.778
233000816,41590-37265,37265,발안농협,126.909417,37.12945,다사4703,향남읍,18.76,36.29,2.47,0,7,0,8.045,19.488,8.112,0.133
233000817,41590-37268,37268,발안사거리.평리,126.91025,37.131533,다사4703,향남읍,4.72,11.03,3.93,0,2,0,2.912,9.203,2.912,0.0
233000818,41590-55684,55684,호반6차.제일풍경채,127.111167,37.156533,다사6506,동탄8동,33.04,19.62,31.16,0,8,0,45.543,105.19,45.543,1.791
233000819,41590-37282,37282,가재4리.해병대보급중대,126.9177,37.142783,다사4805,팔탄면,23.34,19.85,22.66,0,3,0,28.824,87.526,28.824,6.923
233000820,41590-36764,36764,가재1리입구.자연샘,126.919467,37.1454,다사4805,팔탄면,17.87,8.71,14.51,0,3,0,28.824,87.526,28.824,6.923
233000821,41590-37296,37296,가재3리.가재3리입구,126.925517,37.153583,다사4806,봉담읍,19.2,18.88,11.82,0,3,0,28.824,87.526,28.824,6.923
233000822,41590-37301,37301,가재3리.덕우공단입구,126.927533,37.15625,다사4906,팔탄면,26.39,38.12,16.53,0,4,0,28.824,87.526,28.824,6.923
233000823,41590-36071,36071,진우아파트,126.930883,37.162533,다사4907,봉담읍,78.94,82.38,100.51,0,6,0,46.824,114.193,46.824,8.034
233000824,41590-36073,36073,팔탄입구,126.93205,37.164667,다사4907,봉담읍,9.15,8.35,36.0,0,8,0,30.824,92.326,30.824,6.923
233000825,41590-36077,36077,덕리,126.9347,37.16795,다사4907,봉담읍,7.86,6.97,18.46,0,8,0,30.824,92.326,30.824,6.923
233000826,41590-36082,36082,화성푸드통합지원센터(로컬푸드직매장),126.936317,37.1723,다사4908,봉담읍,11.61,18.35,15.68,0,8,0,30.824,92.326,30.824,6.923
233000827,41590-36083,36083,해병대사령부,126.93635,37.178667,다사4909,봉담읍,74.2,72.68,153.24,0,10,0,62.592,172.452,62.672,13.812
233000828,41590-36089,36089,당하리.흰돌산기도원입구,126.93815,37.185483,다사5009,봉담읍,32.85,35.26,163.11,0,7,0,47.49,115.279,47.49,8.034
233000829,41590-36090,36090,왕림4리.세곡리,126.938217,37.18935,다사5010,봉담읍,5.85,3.21,64.01,0,5,0,29.49,88.612,29.49,6.923
233000830,41590-36095,36095,가톨릭대학교,126.939167,37.193567,다사5010,봉담읍,46.64,42.53,113.78,0,7,0,47.49,115.279,47.49,8.034
233000831,41590-36103,36103,왕림리.상기리입구,126.93985,37.197883,다사5011,봉담읍,39.08,53.03,138.67,0,7,0,47.49,115.279,47.49,8.034
233000832,41590-36109,36109,왕림휴게소,126.94275,37.204467,다사5011,봉담읍,13.65,11.12,71.56,0,7,0,33.224,94.212,33.224,7.056
233000833,41590-36111,36111,장안대학,126.943633,37.213683,다사5012,봉담읍,85.22,49.0,302.11,0,15,0,87.385,213.519,87.465,15.829
233000835,41590-36119,36119,삼봉마을.신안인스빌,126.94565,37.217967,다사5013,봉담읍,144.04,93.76,366.46,0,15,0,98.891,239.945,98.891,18.301
233000836,41590-36123,36123,봉담읍행정복지센터,126.949283,37.2204,다사5113,봉담읍,660.89,346.91,1506.61,0,25,0,146.111,376.483,146.191,32.004
233000837,41590-36128,36128,동화리.동남아파트,126.951967,37.2233,다사5113,봉담읍,132.52,68.76,756.07,0,13,0,95.712,243.545,95.712,20.501
233000838,41590-36135,36135,대진아이엠.LH3단지,126.953833,37.225533,다사5114,봉담읍,63.92,38.65,391.93,0,12,0,86.824,211.545,86.824,16.501
233000839,41590-36146,36146,수영오거리.봉담입구,126.9615,37.237033,다사5115,봉담읍,67.91,38.59,118.54,0,13,0,83.926,242.052,84.006,21.168
233000840,41590-37466,37466,행림마을.삼성래미안,127.0499,37.223767,다사6013,진안동,195.13,91.21,174.01,0,4,0,39.429,93.624,39.429,0.053
233000841,41590-36015,36015,남양성지,126.817117,37.20775,다사3912,남양읍,158.02,164.26,315.4,0,8,0,23.238,59.96,22.571,1.944
233000842,41590-37565,37565,어천역,126.909517,37.2492,다사4716,매송면,55.06,45.44,814.49,0,11,0,24.057,57.712,24.057,2.611
