grid_id,lon,lat,x_5179,y_5179,region_code,region,region_kind,pop,elderly,elderly_ratio,households,houses,workers,a0009,a1014,a1519,a2024,a2529,a3034,a3539,a4044,a4549,a5054,a5559,a6064,a6569,a70p
다사6709,127.13385,37.18371,967500.0,1909500.0,31240720,동탄9동,동,594.0,52.0,0.0875,228.0,224.0,72.0,75.0,47.0,39.0,13.0,19.0,27.0,77.0,86.0,67.0,38.0,32.0,26.0,26.0,26.0
다사6710,127.13381,37.19272,967500.0,1910500.0,31240720,동탄9동,동,2891.0,126.0,0.0436,902.0,904.0,319.0,414.0,363.0,187.0,77.0,84.0,155.0,276.0,445.0,370.0,186.0,115.0,88.0,62.0,64.0
다사6711,127.13376,37.20174,967500.0,1911500.0,31240650,동탄5동,동,164.0,34.0,0.2073,78.0,33.0,192.0,5.0,5.0,5.0,8.0,18.0,24.0,13.0,8.0,8.0,18.0,13.0,13.0,13.0,21.0
다사6712,127.13372,37.21075,967500.0,1912500.0,31240650,동탄5동,동,13.0,10.0,0.7692,8.0,8.0,3.0,0,0,0,0,0.0,0,0,0,0.0,0,5.0,5.0,5.0,5.0
다사6808,127.14516,37.17473,968500.0,1908500.0,31240720,동탄9동,동,822.0,62.0,0.0754,574.0,575.0,41.0,56.0,20.0,15.0,29.0,164.0,241.0,77.0,64.0,31.0,33.0,23.0,18.0,28.0,34.0
다사6809,127.14512,37.18374,968500.0,1909500.0,31240720,동탄9동,동,2127.0,235.0,0.1105,1400.0,1398.0,94.0,99.0,42.0,40.0,110.0,491.0,419.0,201.0,135.0,85.0,122.0,78.0,76.0,130.0,105.0
다사6810,127.14507,37.19276,968500.0,1910500.0,31240720,동탄9동,동,284.0,26.0,0.0915,189.0,192.0,225.0,10.0,5.0,0.0,8.0,72.0,83.0,46.0,14.0,5.0,11.0,5.0,11.0,8.0,18.0
다사6811,127.14503,37.20177,968500.0,1911500.0,31240650,동탄5동,동,78.0,26.0,0.3333,29.0,26.0,58.0,0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,8.0,5.0,8.0,13.0,13.0,13.0
다사6812,127.14499,37.21079,968500.0,1912500.0,31240650,동탄5동,동,23.0,5.0,0.2174,5.0,5.0,12.0,0,0,0,5.0,0,5.0,0,0,5.0,5.0,8.0,5.0,0.0,5.0
다사6909,127.15638,37.18378,969500.0,1909500.0,31240720,동탄9동,동,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사6910,127.15634,37.19279,969500.0,1910500.0,31240720,동탄9동,동,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
