시군구코드,시군구명,시간코드,외국인구분,남자0009수,남자1014수,남자1519수,남자2024수,남자2529수,남자3034수,남자3539수,남자4044수,남자4549수,남자5054수,남자5559수,남자6064수,남자6569수,여자0009수,여자1014수,여자1519수,여자2024수,여자2529수,여자3034수,여자3539수,여자4044수,여자4549수,여자5054수,여자5559수,여자6064수,여자6569수,연도_월_일
41590,화성시,4,내국인,3272.95,3568.7,4053.38,5607.53,5840.16,5659.94,6889.08,6166.26,5972.21,4684.2,3980.48,2597.51,1410.14,3168.87,3123.46,3673.59,4678.39,5128.17,4916.2,6240.77,5087.29,4532.37,3788.92,3644.65,2519.71,1374.44,20231217
41590,화성시,8,내국인,7531.87,6311.56,6209.01,9225.68,10444.3,9806.33,12657.49,12959.32,13674.9,12212.23,10611.62,6882.72,3164.9,7207.49,5686.28,4974.41,5926.61,6989.05,7795.59,10202.54,8848.48,8507.9,7206.2,6628.73,4819.7,2629.27,20231226
41590,화성시,1,내국인,2524.32,2980.35,3365.96,5172.38,5405.53,5364.22,6835.45,5825.73,5227.97,4178.11,3458.18,2181.93,1242.53,2336.38,2497.38,2773.71,3338.57,4074.08,4368.06,5845.13,4700.11,4202.23,3285.41,2841.24,2150.25,1249.82,20231205
41590,화성시,8,내국인,8030.75,5896.57,5003.79,9471.09,10478.39,9623.87,12582.26,12596.86,13382.31,12431.97,10745.31,6725.33,3144.2,7470.93,5142.4,3629.77,5369.21,6610.01,7360.08,9905.91,8659.66,8188.79,7138.02,6380.16,4838.08,2593.07,20231214
41590,화성시,21,내국인,6597.44,7983.35,6754.92,10383.13,11542.35,10741.13,13416.51,12285.75,11003.39,8232.42,6197.61,3808.36,1786.88,6070.95,6880.93,5874.74,7587.33,8808.89,8825.03,11383.75,9475.12,8457.27,6194.55,5190.21,3473.22,1681.09,20231207
41590,화성시,13,외국인,7.4,75.82,975.58,2018.97,2012.95,2013.88,1477.63,1081.75,1172.39,1097.29,693.48,270.97,86.58,13.1,37.76,423.92,655.76,921.34,917.18,762.4,647.13,677.73,480.17,377.57,159.6,86.6,20231208
41590,화성시,11,내국인,7974.24,6451.48,6918.1,11568.04,13691.14,12260.23,16398.62,16157.53,17509.2,15929.13,13771.2,8668.17,4292.59,7542.73,5903.59,5252.35,7478.15,9271.18,10804.35,14026.25,11695.77,11625.49,9671.62,8897.18,6409.99,3430.12,20231221
41590,화성시,9,외국인,0.0,59.59,631.64,1693.46,1745.93,1509.24,1196.39,651.15,772.39,653.92,444.32,199.28,62.51,6.08,28.11,294.0,392.11,570.95,537.64,464.15,417.44,402.48,328.51,219.77,155.44,41.17,20231230
41590,화성시,2,내국인,3105.74,3829.42,3968.38,5883.65,6152.5,5740.25,7120.08,6178.38,5669.63,4534.9,3647.64,2374.55,1213.67,2775.43,3132.74,3482.78,4295.08,4691.93,4839.19,5769.62,4807.08,4326.32,3717.24,3254.5,2205.09,1294.34,20231209
41590,화성시,4,외국인,2.07,12.11,357.37,714.69,767.42,639.97,440.5,222.03,221.0,189.8,130.27,35.97,25.31,6.08,15.39,101.64,178.96,253.82,260.16,195.01,141.46,165.01,120.17,85.8,53.97,13.93,20231215
41590,화성시,0,내국인,3447.43,4165.59,5500.47,6849.03,7241.82,6659.16,7983.06,7205.73,6387.54,4832.88,3688.79,2538.84,1214.55,2851.31,3338.02,4446.31,5179.0,5623.17,5553.79,6888.72,5591.36,5060.46,4002.29,3319.01,2333.19,1294.34,20231230
41590,화성시,3,외국인,0.0,17.64,374.16,784.48,971.74,724.82,492.85,206.29,229.3,203.52,102.06,78.82,46.48,4.15,8.3,148.94,237.2,288.48,304.62,214.05,176.53,158.57,142.02,66.5,45.11,13.03,20231222
41590,화성시,17,내국인,10698.51,8196.99,7077.82,10474.22,11829.95,10448.01,14118.82,13550.52,13421.67,11522.34,9470.51,6251.89,3040.47,9604.23,7617.09,5641.24,7132.77,8986.5,10077.96,13178.29,10787.41,10209.63,8426.4,7053.32,4850.34,2534.55,20231211
41590,화성시,17,내국인,8445.75,8959.12,8659.18,10123.22,11656.37,11423.51,14802.24,13351.21,12612.69,10338.38,8666.26,6096.07,3213.04,7592.68,7528.7,8153.44,9619.86,11011.74,11197.0,13950.71,11344.3,11570.0,9364.25,8192.44,5640.28,3120.94,20231231
41590,화성시,2,외국인,7.86,6.22,320.93,714.22,825.92,718.89,474.95,198.65,225.32,181.4,139.06,52.69,29.92,2.07,11.65,112.07,206.47,351.44,227.34,217.85,178.06,160.82,126.29,80.97,33.85,16.53,20231219
41590,화성시,18,외국인,5.85,48.34,731.36,1745.79,1834.64,1580.01,1077.85,601.37,678.36,466.18,290.39,117.66,36.65,11.99,36.17,371.09,519.5,675.84,760.0,641.21,453.01,414.46,380.84,167.45,85.93,53.34,20231205
