route_id,seq,station_id,updown,acc_m
208000025,44,226000046,B,15100.0
208000025,45,226000124,B,15580.0
208000025,46,209000026,B,15990.0
208000025,47,209000025,B,16570.0
208000025,48,209000024,B,17070.0
208000025,49,209000023,B,17330.0
208000025,50,209000022,B,17750.0
208000025,51,209000086,B,18250.0
208000025,52,209000085,B,18450.0
208000025,53,209000084,B,18730.0
208000025,54,209000095,B,19330.0
208000025,55,209000082,B,19780.0
208000025,56,209000061,B,20250.0
208000025,57,209000180,B,20460.0
208000025,58,209000147,B,20690.0
208000025,59,209000146,B,21020.0
208000018,3,225000123,F,800.0
208000018,4,225000121,F,1400.0
208000018,5,225000120,F,1710.0
208000018,6,225000026,F,1920.0
208000018,7,225000025,F,2180.0
208000018,8,225000033,F,2590.0
208000018,9,225000032,F,2860.0
208000018,10,225000118,F,3090.0
208000018,11,225000117,F,3410.0
208000018,12,225000058,F,3760.0
208000018,13,225000057,F,3950.0
208000018,14,225000056,F,4440.0
208000018,15,225000055,F,4720.0
208000018,16,225000054,F,5080.0
208000018,17,209000197,F,5250.0
208000018,18,209000008,F,5450.0
208000018,19,209000007,F,5760.0
208000018,20,209000024,F,6100.0
208000018,21,209000023,F,6360.0
208000018,22,209000022,F,6780.0
208000018,23,209000086,F,7280.0
208000018,24,209000085,F,7480.0
208000018,25,209000084,F,7760.0
208000018,26,209000095,F,8360.0
208000018,27,209000082,F,8810.0
208000018,28,209000296,F,9140.0
208000018,29,209000081,F,9340.0
208000018,30,209000040,F,9920.0
208000018,31,209000039,F,10220.0
208000018,32,209000038,F,10550.0
208000018,33,209000227,F,11180.0
208000018,34,209000036,F,11530.0
208000018,35,209000273,F,12220.0
208000018,36,209000254,B,12350.0
208000018,37,209000251,B,12770.0
208000018,38,209000249,B,13160.0
207000091,22,235000442,F,11250.0
208000018,39,209000247,B,13550.0
208000018,40,209000019,B,13810.0
208000018,41,209000115,B,14220.0
208000018,42,209000052,B,14570.0
208000018,43,209000051,B,14950.0
208000018,44,209000050,B,15480.0
208000018,45,209000049,B,15850.0
208000018,46,209000048,B,16220.0
208000018,47,209000092,B,16790.0
208000018,48,208000313,B,16960.0
208000018,49,209000091,B,17320.0
208000018,50,209000397,B,17460.0
208000018,51,209000090,B,17900.0
208000018,52,209000089,B,18350.0
208000018,53,209000088,B,18640.0
208000018,54,209000087,B,18800.0
208000018,55,209000124,B,19330.0
208000018,56,209000123,B,19810.0
208000018,57,209000122,B,20050.0
208000018,58,209000010,B,20340.0
208000018,59,209000009,B,20690.0
208000018,60,209000196,B,20860.0
208000018,61,225000106,B,21030.0
208000018,62,225000160,B,21420.0
208000018,63,225000105,B,21670.0
208000018,64,225000113,B,22540.0
208000018,65,225000104,B,22860.0
208000018,66,225000112,B,23150.0
208000018,67,225000111,B,23560.0
208000018,68,225000042,B,24000.0
208000018,69,225000041,B,24140.0
208000018,70,225000023,B,24560.0
208000018,71,225000022,B,24810.0
208000018,72,225000187,B,25060.0
208000018,73,225000185,B,25330.0
208000018,74,225000075,B,25900.0
