순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
33,화성시,화성-화성여객,20번,사강종점,어도종점,19.8,2,25,90,130.0,06:00,19:00,06:00,19:00,06:25,19:30,06:25,19:30,
34,화성시,화성-화성여객,20-1번,사강종점,흥법리마을회관,20.1,1,60,200,180.0,06:50,19:00,06:50,18:00,07:10,19:20,07:10,18:20,
35,화성시,화성-화성여객,20-2번,사강종점,고정2리.고잔,16.0,1,60,200,220.0,07:00,18:00,07:40,17:20,07:20,18:20,08:00,17:40,
36,화성시,화성-화성여객,20-3번,(임시)서희스타힐스4차,바이오단지종점,32.3,2,40,100,170.0,05:50,18:00,05:50,18:00,06:30,18:50,06:30,18:50,
37,화성시,화성-화성여객,20-4번,(임시)서희스타힐스4차,사강종점,40.7,1,130,293,300.0,05:00,17:00,07:50,17:00,05:40,18:00,08:50,18:00,
38,화성시,화성-화성여객,20-5번,서희스타힐스3.1단지,사강종점,21.0,4,20,40,70.0,05:45,18:30,05:45,18:30,06:35,19:00,06:35,19:00,
39,화성시,화성-화성여객,20-6번,(임시)서희스타힐스4차,사강종점,20.6,4,20,40,110.0,05:30,18:10,05:30,18:10,06:10,18:40,06:10,18:40,
40,화성시,화성-다원교통,22번,남산공단입구,어천역,37.6,4,20,90,90.0,05:10,20:40,05:10,20:40,05:40,21:10,05:40,21:10,
41,화성시,화성-다원교통,22-2번,세영리첼,수원역10번출구.역전시장,47.5,2,30,120,120.0,06:20,20:00,06:20,20:00,,,,,
42,화성시,화성-다원교통,22-3(신경대)번,화성의과학대학교,수원역10번출구.역전시장,62.7,1,150,240,300.0,07:10,18:10,07:10,18:10,08:30,19:40,08:30,19:40,
43,화성시,화성-다원교통,22-3(장전)번,장전출발(미정차),수원역10번출구.역전시장,55.0,1,150,170,170.0,06:10,19:50,06:10,19:50,07:20,18:30,07:20,18:30,
44,화성시,화성-화성여객,22-4번,야목역,대방노블랜드5차,28.6,5,20,60,60.0,05:30,21:00,05:30,21:00,06:00,21:30,06:00,21:30,
45,화성시,화성-화성여객,22-5번,함백산추모공원,서희스타힐스1.3단지,31.4,8,15,30,40.0,05:00,21:00,05:00,21:00,05:30,21:35,05:30,21:35,
46,화성시,화성-매봉운수,22-6번,함백산추모공원,힐스테이트봉담프라이드시티,34.5,6,15,30,30.0,05:30,22:00,06:00,19:00,05:55,22:25,06:25,19:25,
47,화성시,화성-송산여객,22-7번,함백산추모공원,숙곡리,30.2,5,15,30,30.0,05:30,22:00,06:00,19:00,05:55,22:25,06:25,19:25,
48,화성시,화성-송산여객,22-8번,함백산추모공원,효행구청.분천교회,56.4,10,15,30,30.0,05:20,21:00,06:05,18:32,06:25,22:05,07:10,19:37,
49,화성시,화성-화성여객,26번,수원대학교,음양1길,46.0,10,20,30,60.0,05:30,21:20,05:30,21:20,06:40,22:30,06:40,22:30,
50,화성시,화성-금오운수,27번,병점역.화성청년지원센터,한림대성심병원,14.8,10,8,12,25.0,06:00,22:30,06:00,22:30,06:00,22:30,06:00,22:30,
51,화성시,화성-금오운수,27-2번,병점역후문,나루고등학교,20.0,0,97,117,,07:43,16:11,,,08:33,17:09,,,
52,화성시,화성-화성여객,3번,사강종점,지화2리,28.5,2,20,90,130.0,06:30,18:20,06:30,18:20,07:00,19:00,07:00,19:00,
53,화성시,화성-수성여객,3-2번,장짐삼거리(미정차),오산역환승센터2층(2승강장),53.6,1,140,180,180.0,06:00,19:40,06:00,16:40,07:10,20:50,07:10,20:50,
54,화성시,화성-소망교통,31번,분천리.효행구청,수원역환승센터(11승강장),22.8,7,15,20,55.0,05:20,21:00,05:20,21:00,,,,,
55,화성시,화성-소망교통,31-1번,힐스테이트봉담프라이드시티,수원역환승센터(11승강장),25.3,6,15,18,20.0,05:25,21:55,05:25,21:45,,,,,
56,화성시,화성-소망교통,31-2번,수원과학대학,수원역환승센터(11승강장),28.6,1,120,150,150.0,05:55,21:30,05:55,21:30,06:50,22:20,06:50,22:20,
57,화성시,화성-향남교통,33-3번,향남역,사곡사거리,35.9,3,0,0,0.0,05:40,20:20,06:00,20:00,06:40,21:20,07:00,21:00,
58,화성시,화성-수성여객,333번,수기교차로(미정차),오산역환승센터2층(2승강장),34.4,3,20,130,130.0,05:30,20:10,05:30,20:10,06:20,21:00,06:20,21:00,
59,화성시,화성-부광여객,35-1(A)번,보통2리,병점역사거리,20.6,5,15,30,55.0,06:15,12:05,06:30,12:10,,,,,
60,화성시,화성-부광여객,35-1(B)번,보통2리,병점역사거리,20.6,5,15,30,30.0,11:50,22:00,11:55,21:30,,,,,
61,화성시,화성-부광여객,35-2번,동보아파트,병점역사거리,25.1,3,20,35,35.0,06:00,22:25,06:10,21:45,,,,,
62,화성시,화성-부광여객,35-2(A)번,동보아파트,병점역사거리,22.1,3,0,0,0.0,12:40,13:25,12:10,13:00,,,,,
63,화성시,화성-향남교통,36번,농협하나로마트,구문천2리종점,21.2,0,160,175,175.0,10:35,21:10,10:35,21:10,11:00,21:30,11:00,21:30,
64,화성시,화성-향남교통,36-1번,농협하나로마트,하길1리종점,17.6,0,115,120,120.0,09:30,19:30,09:30,19:30,10:00,19:50,10:00,19:50,
65,화성시,화성-향남교통,36-2번,농협하나로마트,하길4리종점,22.6,0,125,125,125.0,14:30,16:35,14:30,16:35,14:55,17:00,14:55,17:00,
66,화성시,화성-향남교통,36-2A번,장짐교차로.축산농협,하길4리종점,20.9,0,0,0,0.0,08:30,,08:30,,08:50,,08:50,,
67,화성시,화성-향남교통,36-3번,장짐교차로.축산농협,구문천2리종점,23.1,0,0,0,0.0,06:40,,06:40,,07:15,,07:15,,
68,화성시,화성-향남교통,36A번,장짐교차로.축산농협,구문천2리종점,19.4,0,85,85,85.0,06:05,07:30,06:05,07:30,06:20,07:55,06:20,07:55,
69,화성시,화성-부광여객,38번,배양1동,우남퍼스트빌3차아파트,30.5,2,25,105,105.0,06:35,19:00,06:35,19:00,,,,,
70,화성시,화성-부광여객,38-1번,배양1동,우남퍼스트빌3차아파트,30.2,3,25,75,75.0,06:50,19:40,06:50,19:40,,,,,
71,화성시,화성-향남교통,39번,농협하나로마트,상신3리.검정골,18.6,0,60,175,175.0,10:40,21:30,10:40,21:30,11:05,21:50,11:05,21:50,
72,화성시,화성-산척여객,39번,(임시)e편한세상동탄파크아너스,동탄역(서측),24.0,1,70,100,100.0,05:30,20:15,05:30,20:15,06:15,20:55,06:15,20:55,
73,화성시,화성-향남교통,39-1번,농협하나로마트,상신3리.검정골,11.2,0,170,245,245.0,09:50,16:45,09:50,16:45,10:10,17:05,10:10,17:05,
